Family,Common Name,Scientific Name,Long Term Status,Current Status,Range Status,Concern Status,IUCN,WLPA Schedule
"Ardeidae (Herons, Egrets, and Bitterns)",Cinnamon Bittern,Ixobrychus cinnamomeus,Strong Decline,Strong Decline,Moderate,High,Least Concern,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",pond-heron sp.,Ardeola sp.,NA,NA,NA,NA,NA,NA
Oriolidae (Old World Orioles),Black-hooded Oriole,Oriolus xanthornus,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
Scolopacidae (Sandpipers and Allies),Common Snipe,Gallinago gallinago,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
,parakeet sp.,Psittaciformes sp. (parakeet sp.),NA,NA,NA,NA,NA,NA
Scolopacidae (Sandpipers and Allies),Stint sp. (Calidris sp.),Calidris sp. (peep sp.),NA,NA,NA,NA,NA,NA
Motacillidae (Wagtails and Pipits),Grey Wagtail,Motacilla cinerea,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Charadriidae (Plovers and Lapwings),Kentish Plover,Charadrius alexandrinus,Strong Decline,Uncertain,Moderate,Moderate,Least Concern,Schedule-IV
Cisticolidae (Cisticolas and Allies),Jungle Prinia,Prinia sylvatica,Stable,Uncertain,Large,Low,Least Concern,Schedule-IV
Scolopacidae (Sandpipers and Allies),Eurasian Curlew,Numenius arquata,Strong Decline,Uncertain,Moderate,Moderate,Near Threatened,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",hawk sp.,Accipitridae sp. (hawk sp.),NA,NA,NA,NA,NA,NA
Strigidae (Owls),Rock Eagle-Owl (Indian Eagle-Owl),Bubo bengalensis,NA,NA,NA,NA,NA,NA
Caprimulgidae (Nightjars and Allies),Indian Nightjar,Caprimulgus asiaticus,NA,NA,NA,NA,NA,NA
Hemiprocnidae (Treeswifts),Crested Treeswift,Hemiprocne coronata,Strong Decline,Strong Decline,Large,High,Least Concern,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",whistling-duck sp.,Dendrocygna sp.,NA,NA,NA,NA,NA,NA
Cisticolidae (Cisticolas and Allies),Grey-breasted Prinia,Prinia hodgsonii,Stable,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Acrocephalidae (Reed Warblers and Allies),Acrocephalus warbler sp.,Acrocephalus sp.,NA,NA,NA,NA,NA,NA
,shorebird sp.,Charadriiformes sp.,NA,NA,NA,NA,NA,NA
"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Lesser Whitethroat,Sylvia curruca,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Turnicidae (Buttonquail),Barred Buttonquail,Turnix suscitator,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Cuculidae (Cuckoos),Cacomantis cuckoo sp.,Cacomantis sp.,NA,NA,NA,NA,NA,NA
Charadriidae (Plovers and Lapwings),plover sp.,Charadriidae sp.,NA,NA,NA,NA,NA,NA
Pandionidae (Osprey),Osprey,Pandion haliaetus,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-I
"Anatidae (Ducks, Geese, and Waterfowl)",Tufted Duck,Aythya fuligula,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
Turdidae (Thrushes and Allies),Orange-headed Thrush,Geokichla citrina,Moderate Decline,Uncertain,Large,Moderate,Least Concern,Schedule-IV
"Ardeidae (Herons, Egrets, and Bitterns)",Black Bittern,Ixobrychus flavicollis,Uncertain,Strong Decline,Moderate,Moderate,Least Concern,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",waterfowl sp.,Anatidae sp.,NA,NA,NA,NA,NA,NA
"Accipitridae (Hawks, Eagles, and Kites)",Short-toed Snake-Eagle,Circaetus gallicus,Strong Decline,Strong Decline,Very Large,High,Least Concern,Schedule-I
Pelecanidae (Pelicans),pelican sp.,Pelecanus sp.,NA,NA,NA,NA,NA,NA
Pelecanidae (Pelicans),Great White Pelican (Rosy Pelican),Pelecanus onocrotalus,Uncertain,Uncertain,Moderate,Low,Least Concern,Schedule-IV
"Anatidae (Ducks, Geese, and Waterfowl)",teal sp.,Anatidae sp. (teal sp.),NA,NA,NA,NA,NA,NA
"Accipitridae (Hawks, Eagles, and Kites)",Common Buzzard,Buteo buteo,Data Deficient,Uncertain,Moderate,Low,Least Concern,Schedule-I
"Laridae (Gulls, Terns, and Skimmers)",gull/tern/skimmer sp.,Laridae sp.,NA,NA,NA,NA,NA,NA
Alcedinidae (Kingfishers),kingfisher sp.,Alcedinidae sp.,NA,NA,NA,NA,NA,NA
Phalacrocoracidae (Cormorants and Shags),Little/Indian Cormorant,Microcarbo niger/Phalacrocorax fuscicollis,NA,NA,NA,NA,NA,NA
Sturnidae (Starlings),Asian Pied Starling (Pied Myna),Gracupica contra,Uncertain,Uncertain,Very Large,Low,Least Concern,Schedule-IV
Ciconiidae (Storks),stork sp.,Ciconiidae sp.,NA,NA,NA,NA,NA,NA
Estrildidae (Waxbills and Allies),Lonchura munia sp.,Lonchura sp.,NA,NA,NA,NA,NA,NA
"Ardeidae (Herons, Egrets, and Bitterns)",heron sp.,Ardeidae sp.,NA,NA,NA,NA,NA,NA
Podicipedidae (Grebes),grebe sp.,Podicipedidae sp.,NA,NA,NA,NA,NA,NA
Strigidae (Owls),Indian Scops-Owl (Collared Scops-Owl),Otus bakkamoena,NA,NA,NA,NA,NA,NA
"Anatidae (Ducks, Geese, and Waterfowl)",Knob-billed Duck (Comb Duck),Sarkidiornis melanotos,Uncertain,Moderate Decline,Large,Moderate,Least Concern,Schedule-IV
"Accipitridae (Hawks, Eagles, and Kites)",Crested Serpent-Eagle,Spilornis cheela,Stable,Strong Decline,Very Large,Low,Least Concern,Schedule-I
"Ardeidae (Herons, Egrets, and Bitterns)",Great/Intermediate Egret,Ardea alba/intermedia,NA,NA,NA,NA,NA,NA
"Laridae (Gulls, Terns, and Skimmers)",Common Tern,Sterna hirundo,Data Deficient,Uncertain,Moderate,Low,Least Concern,Schedule-IV
Muscicapidae (Old World Flycatchers),Black Redstart,Phoenicurus ochruros,Moderate Decline,Uncertain,Large,Moderate,Least Concern,Schedule-IV
Acrocephalidae (Reed Warblers and Allies),Booted Warbler,Iduna caligata,Uncertain,Uncertain,Large,Low,Least Concern,Schedule-IV
